name,owners,price,score,positive,negative,recommendations,playtime,genres
Ghosts of Tabor,75000,19.99,0,465,87,413,0,"Action,Early Access"
Alfred Hitchcock - Vertigo,35000,29.99,0,127,27,117,0,Adventure
Organ Quarter,10000,24.99,0,236,26,246,0,"Violent,Gore,Action,Adventure,Indie"
GUILTY GEAR 2 -OVERTURE-,75000,19.99,0,167,78,191,160,Action
DRONE The Game,75000,19.99,0,866,427,744,43,"Action,Indie,Racing,Simulation,Sports,Early Access"
EA SPORTS™ Madden NFL 25,35000,69.99,0,326,309,547,0,"Simulation,Sports,Strategy"
IMMORTALITY,35000,17.99,0,116,30,154,0,"Adventure,Casual,Indie,Simulation"
Cuisineer,35000,24.99,0,714,198,827,0,"Action,Adventure,Casual,Indie,RPG,Simulation"
Penumbra: Black Plague Gold Edition,350000,9.99,0,2062,130,2002,93,"Action,Adventure,Indie"
Hentai Pussy,10000,0.99,0,0,0,123,0,"Casual,Indie,Sports"
imomushi,10000,1.99,0,146,15,147,0,"Action,Indie"
Faerie Solitaire,350000,14.99,0,2278,225,1333,300,"Casual,Indie,RPG"
Dawn of Man,750000,24.99,0,12273,1848,13508,797,"Indie,Simulation,Strategy"
One More Line,35000,2.99,0,167,65,184,217,"Action,Casual,Indie"
Sword Daughter,35000,2.49,0,58,55,107,0,"Adventure,Indie"
9th Dawn II,10000,5.99,0,130,24,151,172,"Action,Adventure,Indie,RPG"
Wanderlust Adventures,75000,9.99,0,148,98,193,455,"Action,Adventure,Indie,RPG"
Sakura Beach,150000,9.99,0,1114,275,773,294,"Indie,Simulation"
Epistory - Typing Chronicles,750000,14.99,0,5548,298,3454,170,"Action,Adventure,Indie"
Yi Xian: The Cultivation Card Game,75000,7.99,0,797,212,1060,479,"Casual,Indie,Strategy,Early Access"
Hamilton's Great Adventure,75000,9.99,0,200,93,195,221,"Adventure,Casual,Indie"
Valheim,35000000,19.99,0,337177,16241,305370,1325,"Action,Adventure,Indie,RPG,Early Access"
Legend of Himari,75000,0.49,0,276,34,262,268,"Casual,Indie"
像素男友 语音完整版,10000,3.99,0,189,7,184,0,"Casual,Indie,RPG"
Rampage Knights,350000,11.99,0,3093,244,2026,234,"Action,Adventure,Indie,RPG"
Greak: Memories of Azur,35000,19.99,0,608,157,485,121,"Action,Adventure,Indie"
Company of Heroes 2 - Ardennes Assault,75000,19.99,0,512,334,246,0,Strategy
Accident,35000,14.99,0,846,217,908,24,"Indie,Simulation"
Invasion 2037,10000,12.99,0,87,56,103,0,"Action,Adventure,Indie,Simulation,Early Access"
The World is Your Weapon,10000,9.99,0,495,15,473,58,"Action,Indie,RPG"
Retail Company Simulator,10000,11.99,0,282,18,230,0,"Casual,Indie,Simulation"
Antonball Deluxe,10000,14.99,0,164,4,134,0,"Action,Adventure,Casual,Indie"
Wolfenstein II: The New Colossus,1500000,39.99,0,26618,7024,22319,620,Action
Ship Graveyard Simulator 2,75000,19.99,0,408,98,468,0,"Action,Adventure,Casual,Indie,Simulation"
The 39 Steps,350000,4.99,0,1129,363,373,249,"Adventure,Casual,Indie"
Blaite,350000,0.49,0,353,138,267,236,"Action,Adventure,Casual,Indie"
Möbius Front '83,35000,19.99,0,247,109,246,0,"Indie,Simulation,Strategy"
NUKITASHI,10000,19.99,0,147,5,164,0,Adventure
SpellForce 2: Faith in Destiny,150000,14.99,0,179,122,147,402,"RPG,Strategy"
Abandon Ship,75000,12.49,0,775,266,877,211,"Adventure,Indie,RPG,Strategy"
Forager,750000,19.99,0,28196,2807,25201,744,"Action,Adventure,Indie,Simulation"
AngerForce: Reloaded,35000,9.99,0,326,32,260,199,
Succubus Rem,75000,0.0,0,839,96,891,240,"Indie,RPG"
Evospace,35000,14.99,0,210,45,226,0,"Adventure,Indie,Simulation,Early Access"
Car Mechanic Simulator 2015,750000,19.99,0,12885,1081,11530,512,"Racing,Simulation"
Blade Assault,75000,17.99,0,1111,250,1218,2258,"Action,Indie"
EVE Online,3500000,0.0,0,20720,7059,7038,116,"Action,Free to Play,Massively Multiplayer,RPG,Strategy"
Fears to Fathom - Norwood Hitchhike,35000,2.99,0,598,93,651,156,"Adventure,Casual,Indie"
Unspottable,10000,9.99,0,259,19,251,0,"Casual,Indie,Strategy"
我来自江湖 From Jianghu,75000,7.99,0,1482,403,1670,1362,"Adventure,Indie,RPG,Simulation,Strategy,Early Access"
Slappy Ass,10000,3.99,0,0,0,110,0,"Casual,Indie,Simulation"
A-10 VR,10000,4.99,0,136,10,139,0,"Action,Indie"
Hello Charlotte EP3: Childhood's End,35000,2.99,0,1055,15,973,333,"Indie,RPG"
Voice Love on Air,10000,26.99,0,113,12,147,0,"Casual,Simulation"
Vomitoreum,10000,9.99,0,530,50,495,0,"Action,Adventure,Indie"
STAR OCEAN THE DIVINE FORCE,35000,59.99,0,364,163,452,439,"Action,RPG"
SUNLESS SEA,750000,18.99,0,6997,1399,6647,401,"Adventure,Indie,RPG"
F1 2018,750000,0.0,0,11269,1410,4755,368,"Racing,Simulation,Sports"
STRAFE: Gold Edition,350000,14.99,0,1667,633,1621,138,"Action,Indie"
