engine,count
Unity,231
Unreal Engine,185
id Tech,40
Source,38
MT Framework,23
CryEngine,22
GameMaker: Studio,20
IW Engine,17
Gamebryo,15
RPG Maker,15
PhyreEngine,15
Havok Physics,14
AnvilNext,14
Frostbite,14
LithTech,14
"""RenPy Visual Novel Engine""",12
Chrome Engine,11
Havok,11
GoldSrc,11
Adobe AIR,9
Dunia Engine,9
Custom built engine,9
Proprietary Engine,8
Crystal Tools,8
Ignite Engine,7
RenderWare,7
Asura,7
Phoenix Engine (Relic),7
RAGE,7
Glacier,7
Visionaire,7
Impact Engine,6
Adobe Flash Player,6
Adventure Game Studio,6
Torque 3D,5
OGRE,5
Build,5
Forge,5
Frostbite 3,5
Taito Type X,5
Halo,5
Tiger,5
Kinetica,5
PhysX,5
PainEngine,5
Jade,5
Wolfenstein 3D,5
Eclipse Engine,5
Game Maker Studio,5
Microsoft XNA,5
Clickteam Fusion,4
UbiArt Framework,4
4A Engine,4
Crystal Engine,4
Ego Engine,4
Decima,4
Snowdrop,4
Lightweight Java Game Library,4
Silk Engine,4
Telltale Tool,4
Fox Engine,4
Cryengine 2,4
Southpaw,4
WOLF RPG Editor,3
FMOD,3
Serious Engine,3
In House Engine,3
Scimitar,3
Geo-Mod,3
KiriKiri,3
Creation Engine,3
GameMaker,3
Starbreeze Engine,3
RE Engine,3
Diesel,3
FNA,3
Hedgehog Engine,3
Sunshine Engine,3
TheEngine,3
Prism3D,3
Naughty Dog Engine,3
In-house engine,3
Popcap Games Framework,3
SCUMM,3
Bluepoint Engine,3
SAGE,3
Mercury Steam Engine,3
A.L.I.V.E.,2
Godfather engine,2
Core Design,2
Evolution,2
Vision,2
REDengine,2
Torque Game Engine,2
MacVenture,2
Sledgehammer Engine,2
MAX-FX,2
Titanium,2
Unity3D,2
RENA,2
DreamWorld,2
TW Engine 3,2
TrueMotion,2
WF Engine,2
X3 Reality,2
"""Sierras Creative Interpreter""",2
Essence Engine,2
BigWorld,2
Tommunism Engine,2
Anvil,2
Genome,2
Disrupt,2
Moai,2
HPL,2
SpeedTree,2
Avalanche engine,2
Luminous Studio,2
Onyx Engine,2
Firebird Engine,2
Merkury Engine,2
Heaps.io,2
Game Maker,2
Virtools Engine,2
CATHODE,2
RSPiX,2
Voxel Space,2
Construct 2,2
GH Engine,2
EAGL,2
X-ray Engine,2
CANVAS Engine,2
Serious Engine 4,2
Black Hawk engine,2
Slayer,2
Neo Geo MVS,2
Multimedia Fusion,2
Real Virtuality,2
NightShade Engine,1
YETI,1
Cocos2d-x,1
Spark Casual Engine,1
Pheonix 3D engine,1
Coretech 3,1
VRAGE,1
T-Engine,1
HOPA Engine,1
NetImmerse,1
Liquid Engine,1
Iron Engine,1
FLEDGE Engine,1
Foundation Engine,1
Asura engine,1
XNA Game Studio,1
Dagor Engine,1
Void Engine,1
Voxlap,1
ExEn (Execution Engine),1
Starlight,1
Gex engine,1
BASIC,1
Visceral Engine,1
Autodesk Stingray,1
GlyphX,1
K2 Engine,1
Enigma engine,1
The Sims 3 Engine,1
Genie Engine,1
Torque 2D,1
Twine,1
Cryptic Engine,1
AbbeyCore,1
Nvidia PhysX,1
AtmosFear,1
Shark 3D,1
EDuke32,1
Odyssey,1
Infernal Engine,1
Godot,1
NeL,1
Phoenix Engine (Wolfire),1
Retox,1
Cobra Engine,1
Infinity Engine,1
IRISZOOM,1
BANG!,1
Enfusion,1
ZenGin,1
Ronin,1
Black Sun Engine,1
NoviceX,1
libGDX,1
iMUSE,1
GrimE,1
Allegro,1
LÖVE,1
Beelzebub,1
Cobra,1
TW Engine 2,1
Real Virtuality 4,1
Whale 2,1
Clausewitz Engine,1
Dawn Engine,1
Raycast Game Maker,1
Evolution Engine,1
Saber3D,1
Buddha,1
EngineX,1
Frostbite 2,1
Euphoria Engine,1
isiMotor,1
Beard+Razor,1
The Alan Wake Engine,1
Orochi,1
sdl2,1
LyN,1
Treyarch NGL,1
ASKA,1
Insomniac Engine,1
C++,1
True3D,1
Road Hog Engine,1
Titan 2.0,1
G-Engine,1
Java,1
Real Virtuality 3,1
BitSquid,1
Radiant AI,1
Virtual Dream,1
Mohawk,1
Ice-Peak Engine,1
Hexane Engine,1
Spring,1
Twilight,1
Firaxis LORE,1
Octave Engine,1
SigE,1
Traktor,1
Enforce,1
HTML5,1
AEGIS,1
Dagon Engine,1
Turok,1
0gf3. gine,1
Babel engine,1
Lux Engine,1
ZEN,1
Symbian,1
SurRender 3D,1
System4,1
Horizon Engine,1
Viscious Engine,1
GEM,1
S2 Engine HD,1
Flashpunk,1
Sparta 3D,1
AppGameKit Classic (AGK),1
HPL Engine,1
Sith,1
Dark Engine,1
fps creator classic,1
LS3D,1
RAD Engine 4.0,1
renpy,1
Chameleon,1
"""Strangers engine""",1
Stratagus,1
Unreal,1
